station_name,hour,day_of_week_num,actual_rides,predicted_rides
Damen Ave & Pierce Ave,15,0,1,1.2516148098464042
McCormick Place,17,6,2,1.2281812242548829
Halsted St & 35th St,10,5,1,1.1182587610773644
LaSalle St & Illinois St,9,4,1,1.4070109468443546
Clark St & Elm St,14,6,1,2.1825661699841263
State St & Randolph St,10,6,1,1.2494523931589594
Clark St & Armitage Ave,15,0,1,1.2157934086736764
LaSalle St & Illinois St,0,5,2,1.4358103859767721
Cityfront Plaza Dr & Pioneer Ct,13,6,1,1.5054481746949973
Cornell Ave & Hyde Park Blvd,16,1,1,1.275644277002991
Michigan Ave & Washington St,17,2,1,3.6148882436363086
Damen Ave & Chicago Ave,22,6,1,1.0648244018029092
900 W Harrison St,9,1,1,1.1509632889177142
Rush St & Cedar St,15,0,1,1.583763903484005
Calumet Ave & 18th St,4,1,1,1.0029550083060519
Clinton St & Madison St,6,0,3,2.7082710381287836
Fairbanks Ct & Grand Ave,23,4,1,1.159828278775934
Michigan Ave & 18th St,20,1,1,1.2065695055905044
Lakeview Ave & Fullerton Pkwy,12,1,1,1.3101429037396723
Canal St & Adams St,16,5,1,1.3817889124820337
Halsted St & Roscoe St,14,3,1,1.3012867404250943
Wells St & Huron St,16,5,1,1.3881671514105012
N Paulina St & Lincoln Ave,20,3,1,1.1662101100161524
Sheffield Ave & Webster Ave,6,4,1,1.0912610297387264
Logan Blvd & Elston Ave,22,2,3,1.3662404267591395
DuSable Lake Shore Dr & Diversey Pkwy,19,1,1,1.189909376454549
Theater on the Lake,15,3,2,1.3353064717135374
Southport Ave & Roscoe St,17,5,1,1.3526837006663488
Loomis St & Jackson Blvd,14,6,1,1.1720571213554976
Benson Ave & Church St,17,1,1,1.3173597410288516
Ellis Ave & 53rd St,18,0,1,1.233719924643215
Wilton Ave & Diversey Pkwy,9,6,1,1.1725636881474863
Lincoln Ave & Belmont Ave,10,2,1,1.1262678972815265
Honore St & Division St,6,2,2,1.157487643565425
University Ave & 57th St,13,3,1,2.2312079913550504
Wilton Ave & Belmont Ave,14,4,3,1.4210469062673285
Franklin St & Lake St,18,1,4,2.4430224776513487
Rush St & Cedar St,11,2,1,1.2631838209870374
Wells St & Concord Ln,18,5,3,1.890930484824211
Lincoln Ave & Sunnyside Ave,9,2,1,1.1205953102224708
Michigan Ave & Washington St,8,0,1,1.9913170168796426
LaSalle St & Illinois St,11,1,1,1.1909365036096273
State St & 33rd St,17,6,1,1.2376608628679058
Broadway & Argyle St,18,3,1,1.1478832482002963
Wabash Ave & 9th St,19,0,1,1.1805392635627725
Michigan Ave & Washington St,16,0,2,2.154139568183745
McClurg Ct & Ohio St,17,3,2,1.508417972111491
Wentworth Ave & Cermak Rd,18,5,1,1.338282787768366
Mies van der Rohe Way & Chestnut St,16,6,1,1.2507296146375206
Aberdeen St & Jackson Blvd,16,6,1,1.2525335362061483
Milwaukee Ave & Fullerton Ave,12,1,1,1.104411637236941
