start_station_name,lat,lon
Glenwood Ave & Touhy Ave,42.0128005,-87.665906
Sheffield Ave & Fullerton Ave,41.9256018819,-87.6537080423
Clark St & Bryn Mawr Ave,41.983593,-87.669154
Michigan Ave & Jackson Blvd,41.87785,-87.62408
Wood St & Chicago Ave,41.895634,-87.672069
Oakley Ave & Irving Park Rd,41.95434085219,-87.6860796243
Racine Ave & 15th St,41.861251333333335,-87.65650016666666
LaSalle St & Jackson Blvd,41.878166,-87.631929
Clarendon Ave & Leland Ave,41.967962,-87.6500285
Rush St & Superior St,41.89576474564,-87.6259080327
Lincoln Park Conservatory,41.92393131136619,-87.63582453131676
Sedgwick St & North Ave,41.911386,-87.638677
California Ave & Altgeld St,41.9266475,-87.69766083333333
Indiana Ave & 31st St,41.838842,-87.621857
Lake Park Ave & 56th St,41.793242,-87.587782
Sheridan Rd & Montrose Ave,41.96164683333333,-87.65463183333334
State St & Harrison St,41.874053,-87.627716
Halsted St & North Branch St,41.899331333333336,-87.6485665
Washtenaw Ave & Lawrence Ave,41.9687465,-87.696182
University Ave & 57th St,41.791478,-87.599861
Halsted St & Clybourn Ave,41.909668,-87.648128
Clinton St & Lake St,41.885637,-87.641823
Evanston Civic Center,42.057044,-87.686554
Clinton St & Roosevelt Rd,41.8671177825,-87.6410879593
Damen Ave & Cortland St,41.9159495,-87.67738
Winthrop Ave & Lawrence Ave,41.968881333333336,-87.657706
Wilton Ave & Belmont Ave,41.940051,-87.65293033333333
Southport Ave & Waveland Ave,41.94804833333333,-87.66419066666667
Paulina Ave & North Ave,41.90985465216731,-87.66993016004562
Halsted St & Willow St,41.9138635,-87.64870133333334
Clark St & Lake St,41.88602082773,-87.6308760584
Halsted St & Maxwell St,41.864876509,-87.647285223
Sheffield Ave & Waveland Ave,41.949399,-87.654529
St. Clair St & Erie St,41.8943455,-87.62286166666667
May St & Cullerton St,41.855136,-87.654127
Ogden Ave & Chicago Ave,41.896362458,-87.6540612729
DuSable Lake Shore Dr & North Blvd,41.9117565,-87.62676316666666
Wood St & Milwaukee Ave,41.907655,-87.672552
Ashland Ave & Division St,41.903337,-87.66805383333333
Wells St & Huron St,41.894771,-87.63438733333334
Damen Ave & Charleston St,41.920078833333335,-87.67793133333333
Michigan Ave & 14th St,41.864059,-87.623727
Rockwell St & Cermak Rd,41.85,-87.69
Clinton St & Jackson Blvd,41.87831661183069,-87.64098107814789
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368
Ashland Ave & Grace St,41.9506475,-87.66867166666667
Clinton St & Polk St,41.87146651779,-87.6409491327
Chicago Ave & Washington St,42.032562,-87.679101
Lincoln Ave & Belmont Ave,41.939536833333335,-87.66830766666666
Sheffield Ave & Wellington Ave,41.9362534831413,-87.65266209840775
Wabash Ave & Wacker Pl,41.886875,-87.62603
Millennium Park,41.8810317,-87.62408432
Lincoln Ave & Belle Plaine Ave,41.95605433333333,-87.68028933333333
Carpenter St & Huron St,41.894510031,-87.653453112
Halsted St & Roscoe St,41.94367,-87.64895
Wabash Ave & Grand Ave,41.891466,-87.626761
Fairbanks Ct & Grand Ave,41.89184737210993,-87.62058019638062
